ID.,Face Encoding
1,"[-1.12492986e-01  7.39468038e-02  7.69480616e-02 -8.95481557e-02
 -9.62182730e-02  5.15599288e-02 -1.58158336e-02 -6.69441223e-02
  2.48537928e-01 -1.24230132e-01  2.45092720e-01  7.37310722e-02
 -2.16916084e-01 -8.04521590e-02 -5.93454726e-02  6.38117716e-02
 -1.15803659e-01 -1.66432753e-01  4.02539112e-02 -5.36408126e-02
  3.98597643e-02 -1.97438430e-02  1.90517548e-02 -4.56981212e-02
 -1.54395863e-01 -3.24321032e-01 -8.95381048e-02 -1.12934723e-01
  7.42677525e-02 -8.32451433e-02 -4.59221303e-02 -7.92492181e-03
 -1.77659750e-01 -3.75083312e-02 -1.80391669e-02  1.18559994e-01
 -7.10100085e-02 -1.93312764e-02  1.53674230e-01 -3.37471552e-02
 -1.55160606e-01 -1.03311181e-01  2.66198888e-02  1.89961612e-01
  1.25591666e-01  5.02105840e-02  3.99655849e-02 -1.12456307e-01
  4.57766950e-02 -2.06344843e-01  1.37821451e-01  7.81192183e-02
  1.20369889e-01  2.22296789e-02  1.24760546e-01 -2.02495456e-01
 -1.32894814e-02  1.08377658e-01 -1.28501743e-01  9.05343741e-02
  2.28445604e-02 -2.27922723e-02 -4.26518321e-02 -8.42311233e-03
  2.49312356e-01  1.22455068e-01 -6.78885058e-02 -1.31871134e-01
  2.51545966e-01 -1.33121416e-01 -3.22209708e-02  1.18360266e-01
 -4.49199490e-02 -1.69203192e-01 -2.06162900e-01  2.24201828e-02
  4.30890471e-01  1.60050392e-01 -1.18698001e-01  1.08447894e-02
 -8.52906704e-02 -3.87529358e-02  8.41478407e-02  2.40992606e-02
 -1.42579526e-01  5.24363667e-02 -1.42986342e-01  1.47176534e-02
  1.99986249e-01  1.81832910e-02 -4.62836176e-02  1.33840218e-01
 -1.09255649e-02  1.01564974e-01  5.59693053e-02  2.12361589e-02
 -8.77852142e-02  3.82113196e-02 -1.59317926e-01 -8.26113522e-02
  6.12793900e-02 -8.99500549e-02 -1.02398545e-02  1.55746683e-01
 -1.52175367e-01  7.11492077e-02 -1.77137554e-03 -4.70039658e-02
  4.04149294e-04  1.61144882e-02 -7.13073909e-02 -4.22485769e-02
  1.52914703e-01 -2.61610538e-01  1.70989975e-01  1.37804151e-01
  4.53931764e-02  1.71018690e-01  1.10840492e-01  2.63566747e-02
  3.77908051e-02 -1.15461022e-01 -1.96295440e-01 -1.31246019e-02
 -1.79524794e-02 -9.38640460e-02  8.66641253e-02  5.97126782e-02]"
2,"[-0.14494683  0.07119489  0.05431607 -0.0795487  -0.09129438  0.04064352
 -0.00892318 -0.06820438  0.23757496 -0.11035314  0.24131544  0.06776026
 -0.21973945 -0.0889487  -0.07583001  0.05921442 -0.13065872 -0.19126004
  0.04420179 -0.03475271  0.04828539 -0.03922959  0.00529368 -0.02256992
 -0.15639442 -0.31308368 -0.08074199 -0.11713605  0.06192522 -0.09296797
 -0.02366363 -0.00260118 -0.20065245 -0.04975613 -0.02453927  0.1237779
 -0.04254799 -0.00495739  0.15710643 -0.05082354 -0.1756371  -0.12243322
  0.03204804  0.21230069  0.13567421  0.03794984  0.03068225 -0.1054326
  0.05030847 -0.22578028  0.13614215  0.089054    0.13043725  0.01903143
  0.10410131 -0.20853077 -0.02532437  0.13340992 -0.10485268  0.10852292
  0.00310658 -0.02113575 -0.02239585 -0.00989407  0.25629812  0.09983128
 -0.09746784 -0.12441866  0.24869643 -0.12622663 -0.04413644  0.11860131
 -0.05063793 -0.1894948  -0.24937303  0.03269091  0.44766301  0.13340269
 -0.13807337  0.02230157 -0.08816518 -0.04121974  0.07577795  0.06797019
 -0.12437767  0.05008378 -0.14818998  0.01064429  0.21266732  0.02941122
 -0.06300379  0.12162116 -0.0314241   0.09511041  0.05257089  0.06154864
 -0.07833943  0.03895529 -0.15944748 -0.06515116  0.057621   -0.07567707
 -0.0352339   0.1729296  -0.13206503  0.0613327   0.00552619 -0.03181875
 -0.01241293  0.00503443 -0.06266035 -0.0443389   0.14298636 -0.26364708
  0.19091779  0.1422711   0.03472967  0.17529164  0.11491509  0.01765657
  0.06071182 -0.10028032 -0.19814014 -0.01556282 -0.00696108 -0.09877773
  0.0824115   0.05214658]"
